listing_id,source_name,source_url,collection_date,requested_parish,address_or_area_text,property_type,property_subtype,monthly_rent_eur,area_m2,source_rent_eur_m2_month,latitude,longitude,listing_status,parish,parish_assignment_method,requested_parish_match,calculated_rent_eur_m2_month,rent_value_difference,valid_for_analysis,building_key,duplicate_key,verification_note
idealista_34965736,idealista,https://www.idealista.pt/en/imovel/34965736/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Avenida José Malhoa, Praça de Espanha - Sete Rios, Campolide",office,,8740,380,23,38.7362457,-9.1670418,good,Campolide,coordinate_within_official_boundary,True,23.0,0.0,True,Campolide_38.7362_-9.167,Campolide_38.7362_-9.167_380_8740,Passed automated coordinate and value checks.
idealista_34284416,idealista,https://www.idealista.pt/en/imovel/34284416/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Private office in Rua Marquês de Fronteira, Nova Campolide, Campolide",office,privateOffice,5000,254,20,38.7277823,-9.1589729,good,Avenidas Novas,coordinate_within_official_boundary,False,19.69,0.3099999999999987,True,Avenidas Novas_38.7278_-9.159,Avenidas Novas_38.7278_-9.159_254_5000,Spatially assigned parish differs from the search parish.
idealista_34612847,idealista,https://www.idealista.pt/en/imovel/34612847/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Avenida José Malhoa, Praça de Espanha - Sete Rios, Campolide",office,,14532,692,21,38.7374844,-9.1634139,good,Campolide,coordinate_within_official_boundary,True,21.0,0.0,True,Campolide_38.7375_-9.1634,Campolide_38.7375_-9.1634_692_14532,Passed automated coordinate and value checks.
idealista_35135700,idealista,https://www.idealista.pt/en/imovel/35135700/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Avenida José Malhoa, 11, Praça de Espanha - Sete Rios, Campolide",office,,7586,379,20,38.7369859,-9.1637588,good,Campolide,coordinate_within_official_boundary,True,20.02,0.019999999999999574,True,Campolide_38.737_-9.1638,Campolide_38.737_-9.1638_379_7586,Passed automated coordinate and value checks.
idealista_35135713,idealista,https://www.idealista.pt/en/imovel/35135713/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Avenida José Malhoa, 14, Praça de Espanha - Sete Rios, Campolide",office,,3869,204,19,38.7373741,-9.163383,good,Campolide,coordinate_within_official_boundary,True,18.97,0.030000000000001137,True,Campolide_38.7374_-9.1634,Campolide_38.7374_-9.1634_204_3869,Passed automated coordinate and value checks.
idealista_34537338,idealista,https://www.idealista.pt/en/imovel/34537338/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Private office in Avenida José Malhoa, 11, Praça de Espanha - Sete Rios, Campolide",office,privateOffice,22740,1137,20,38.737048,-9.1637275,good,Campolide,coordinate_within_official_boundary,True,20.0,0.0,True,Campolide_38.737_-9.1637,Campolide_38.737_-9.1637_1137_22740,Passed automated coordinate and value checks.
idealista_34961553,idealista,https://www.idealista.pt/en/imovel/34961553/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Avenida José Malhoa, 2, Praça de Espanha - Sete Rios, Campolide",office,,19725,1315,15,38.7367169,-9.1614138,good,Campolide,coordinate_within_official_boundary,True,15.0,0.0,True,Campolide_38.7367_-9.1614,Campolide_38.7367_-9.1614_1315_19725,Passed automated coordinate and value checks.
idealista_34318245,idealista,https://www.idealista.pt/en/imovel/34318245/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Avenida Columbano Bordalo Pinheiro Nn, Praça de Espanha - Sete Rios, Campolide",office,,2850,181,16,38.7380677,-9.1611878,good,Campolide,coordinate_within_official_boundary,True,15.75,0.25,True,Campolide_38.7381_-9.1612,Campolide_38.7381_-9.1612_181_2850,Passed automated coordinate and value checks.
idealista_35174451,idealista,https://www.idealista.pt/en/imovel/35174451/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Rua Campos Júnior, 9, Centro, Campolide",office,,359,8,45,38.7283136,-9.1644117,,Campolide,coordinate_within_official_boundary,True,44.88,0.11999999999999744,True,Campolide_38.7283_-9.1644,Campolide_38.7283_-9.1644_8_359,Passed automated coordinate and value checks.
idealista_33122374,idealista,https://www.idealista.pt/en/imovel/33122374/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Arroios,"Private office in Rua Actor Taborda, Saldanha - Picoas, Arroios",office,privateOffice,7560,432,18,38.7325075,-9.1422015,good,Arroios,coordinate_within_official_boundary,True,17.5,0.5,True,Arroios_38.7325_-9.1422,Arroios_38.7325_-9.1422_432_7560,Passed automated coordinate and value checks.
